postcode,northing,easting
BR1 1HN,168744,540278
BR1 3DR,169290,541025
BR1 4AD,169814,539619
BR1 4HB,170381,539779
BR1 4HE,170332,540204
BR1 4PX,170901,540193
BR1 5EP,171701,539825
BR1 5NJ,172002,539621
BR2 7EH,166158,540018
BR2 7JF,166249,540022
BR2 7LL,166161,540445
BR2 9EF,167703,540483
BR2 9GT,167328,541902
BR3 3FD,169152,536933
BR3 3QL,169191,536898
BR3 4DG,168505,536188
BR3 4DQ,168520,536344
BR3 5HS,169590,538895
BR3 5LE,169424,537634
BR3 5LG,169417,537793
BR4 0PU,166095,538257
BR4 9BG,165226,539041
BR4 9PS,165976,537673
BR5 1EL,167057,544659
BR5 1JZ,167718,544501
BR5 1LH,167577,544712
BR5 2DD,167751,546660
BR5 2DQ,167758,546299
BR5 2JP,169186,546777
BR5 3NL,168372,547254
BR5 3TW,169662,547322
BR5 4AR,167453,547157
BR5 4DU,167251,547385
BR5 4LA,166346,546962
BR6 0DP,166877,545888
BR6 6BG,163772,545628
BR6 6HD,163951,546598
BR6 6HE,163850,546449
BR6 7AR,164941,543718
BR6 7EA,164393,544429
BR6 8ND,165032,543443
BR6 8NL,165081,543121
BR6 9JL,165536,546010
BR7 5AQ,170989,543816
BR7 6DB,171139,543624
BR7 6LH,170314,544601
CR0 0JA,162447,538101
CR0 0QL,163445,538255
CR0 1ED,165302,532711
CR0 1SG,165327,532109
CR0 2BZ,166481,532802
CR0 2EU,166105,532562
CR0 2JJ,166920,532490
CR0 3EW,167212,530859
CR0 3PN,166770,531397
CR0 4HN,164065,531827
CR0 4UQ,165832,530659
CR0 6AD,166210,533541
CR0 6AH,166185,534042
CR0 6HA,166512,533478
CR0 6SD,165765,533212
CR0 7AG,166789,534803
CR0 7LJ,165920,534991
CR0 8BH,165823,536177
CR0 8NG,165254,537208
CR0 8RG,165736,536115
CR2 6AD,163721,532523
CR2 6EX,163001,532511
CR2 7DX,164639,532882
CR2 7NG,162521,534757
CR2 8DU,162430,534739
CR2 8LG,162147,534901
CR2 9HH,160714,532993
CR4 1BP,168628,529866
CR4 1DL,168540,529047
CR4 3DA,168865,527106
CR4 3FH,168914,527224
CR4 3HS,169492,527571
CR4 3LD,169566,527926
CR4 3PR,169157,526564
CR4 4DQ,168190,526814
CR5 1HF,158071,531294
CR5 2DR,159876,529583
CR7 6AR,167188,531472
CR7 6BH,167427,530930
CR7 6JE,168395,531055
CR7 7HL,167150,531677
